2026-04-23T23:13:31+08:00	5	P0: API 服务器缺少认证机制	blocked	3	false	35	35	feature/issue-5	
2026-04-23T23:46:46+08:00	5	P0: API 服务器缺少认证机制	completed	4	false	88	88	feature/issue-5	
2026-04-24T00:50:38+08:00	6	P0: API 密钥明文存储且错误信息可能泄露	completed	3	false	100	100	feature/issue-6	
2026-04-24T01:07:15+08:00	7	P2: 替换废弃 datetime.utcnow() API	completed	3	false	89	89	feature/issue-7	
2026-04-24T02:17:26+08:00	9	P1: 拆分 engine.py God Class（1670行）	completed	3	false	90	90	feature/issue-9	
2026-04-24T02:41:08+08:00	10	P1: 统一 Paper/Live 执行路径	blocked	3	false	50	50	feature/issue-10	
2026-04-24T03:01:41+08:00	11	P1: 交易所网关解耦配置依赖	completed	3	false	100	100	feature/issue-11	
2026-04-24T03:34:50+08:00	12	P2: 优化 summarize_account 重复调用性能	completed	3	false	98	98	feature/issue-12	
2026-04-24T03:48:17+08:00	13	P2: 替换废弃 datetime.utcnow() API	completed	3	false	95	95	feature/issue-13	
2026-04-24T04:13:12+08:00	14	P2: 消除 kline 解析逻辑重复	completed	3	false	100	100	feature/issue-14	
2026-04-24T12:46:25+08:00	15	P2: 消除交易所缓存策略和 URL 构建代码重复	completed	3	false	100	100	feature/issue-15	
